,HPhylomeDB|P00395,EggNOG|COG0843,HOGENOM|NA,HOVERGEN|HBG003841,OMA|FHGLASM,KO|K02256
A0ZZ04,,,,A0ZZ04_9TELE,,
A1A8A0,,A1A8A0_ECOK1,,,,
A1AV81,,A1AV81_RUTMC,,,,
A1B3D7,,A1B3D7_PARDP,,,A1B3D7_PARDP,
A1B6G7,,A1B6G7_PARDP,,,,
A1BCC3,,A1BCC3_PARDP,,,,
A1BQB2,,,,A1BQB2_9AVES,,
A1BQB4,,,,A1BQB4_9AVES,,
A1BQB5,,,,A1BQB5_9AVES,,
A1BQB7,,,,A1BQB7_EUDCH,,
A1BQB8,,,,A1BQB8_EUDCH,,
A1BQC7,,,,A1BQC7_EUDCH,,
A1BQD1,,,,A1BQD1_EUDCH,,
A1DSF3,,,,A1DSF3_HUMAN,,
A1DTC8,,,,A1DTC8_HUMAN,,
A1DTW0,,,,A1DTW0_HUMAN,,
A1IG54,,,,A1IG54_9SAUR,,
A1IGD1,,,,A1IGD1_COLVA,,
A1IGH1,,,,A1IGH1_9SAUR,,
A1IGI4,,,,A1IGI4_GEOAC,,
A1IGJ7,,,,A1IGJ7_HELSU,,
A1IGQ1,,,,A1IGQ1_9SAUR,,
A1IGR7,,,,A1IGR7_FUROU,,
A1IGT0,,,,A1IGT0_VARNI,,
A1IHG9,,,,A1IHG9_LATCH,,
A1ING7,,,,A1ING7_PARRO,,
A1JNP2,,A1JNP2_YERE8,,,,
A1K6B9,,A1K6B9_AZOSB,,,,
A1KAR3,,A1KAR3_AZOSB,,,,
A1KN40,,A1KN40_MYCBP,,,,
A1KY09,,,,A1KY09_9GOBI,,
A1R6U3,,A1R6U3_ARTAT,,,,
A1RE52,,A1RE52_SHESW,,,,
A1RE90,,A1RE90_SHESW,,,,
A1SBD0,,A1SBD0_SHEAM,,,,
A1SCB2,,A1SCB2_NOCSJ,,,,
A1SLF7,,A1SLF7_NOCSJ,,,,
A1SY61,,A1SY61_PSYIN,,,,
A1T6U7,,A1T6U7_MYCVP,,,,
