,HPhylomeDB|P00395,EggNOG|COG0843,HOGENOM|NA,HOVERGEN|HBG003841,OMA|FHGLASM,KO|K02256
A4ZPL7,,,,A4ZPL7_9TELE,,
A4ZXV4,,,,A4ZXV4_BOSMU,,
A5CF32,,A5CF32_ORITB,,,,
A5CS33,,A5CS33_CLAM3,,,,
A5CXZ5,,A5CXZ5_VESOH,,,,
A5EA97,,A5EA97_BRASB,,,A5EA97_BRASB,
A5EDH7,,A5EDH7_BRASB,,,,
A5EGJ1,,A5EGJ1_BRASB,,,,
A5FJE4,,A5FJE4_FLAJ1,,,,
A5FTY6,,A5FTY6_ACICJ,,,,
A5FXH8,,A5FXH8_ACICJ,,,,
A5G0I3,,A5G0I3_ACICJ,,,,
A5GCR7,,A5GCR7_GEOUR,,,,
A5GJM5,,A5GJM5_SYNPW,,,,
A5GMY3,,A5GMY3_SYNPW,,,,
A5GRR5,,A5GRR5_SYNR3,,,,
A5GVD0,,A5GVD0_SYNR3,,,,
A5HV28,,,,A5HV28_EUMJU,,
A5HW02,,,,A5HW02_PAGBG,,
A5II82,,A5II82_LEGPC,,,A5II82_LEGPC,
A5IRU6,,A5IRU6_STAA9,,,,
A5J056,,A5J056_GIBZE,,,,A5J056_GIBZE
A5J057,,,,,,A5J057_GIBZE
A5J058,,,,,,A5J058_GIBZE
A5J059,,,,,,A5J059_GIBZE
A5J060,,,,,,A5J060_GIBZE
A5J061,,,,,,A5J061_GIBZE
A5J062,,,,,,A5J062_GIBZE
A5J063,,,,,,A5J063_GIBZE
A5J064,,,,,,A5J064_GIBZE
A5J065,,,,,,A5J065_GIBZE
A5J066,,,,,,A5J066_GIBZE
A5J067,,,,,,A5J067_GIBZE
A5J068,,,,,,A5J068_GIBZE
A5J069,,,,,,A5J069_GIBZE
A5JFJ8,,,,A5JFJ8_AILME,A5JFJ8_AILME,A5JFJ8_AILME
A5JPB4,,,,A5JPB4_PANTR,,
A5JW14,,,,A5JW14_ELEMA,,
A5JYA3,,,,A5JYA3_HORSE,A5JYA3_HORSE,A5JYA3_HORSE
A5PI58,,,,A5PI58_9TELE,,
A5PI71,,,,A5PI71_9TELE,,
A5PI84,,,,A5PI84_CLUHA,,
A5PI97,,,,A5PI97_CLUPA,,
A5PIB0,,,,A5PIB0_9TELE,,
A5PIC3,,,,A5PIC3_9TELE,,
A5PID6,,,,A5PID6_9TELE,,
A5PIE9,,,,A5PIE9_9TELE,,
A5PIG2,,,,A5PIG2_9TELE,,
A5PIH5,,,,A5PIH5_9TELE,,
A5PII8,,,,A5PII8_9TELE,,
A5PIK1,,,,A5PIK1_9TELE,,
A5PIL4,,,,A5PIL4_SARMA,,
A5PIM7,,,,A5PIM7_9TELE,,
A5PIP0,,,,A5PIP0_9TELE,,
A5PIQ3,,,,A5PIQ3_9TELE,,
A5PIR6,,,,A5PIR6_9TELE,,
A5PIS9,,,,A5PIS9_SARPI,,
A5PIU2,,,,A5PIU2_SPRSP,,
A5PJ49,,,,A5PJ49_9SAUR,,
A5U757,,A5U757_MYCTA,,,,
A5URU0,,A5URU0_ROSS1,,,,
A5UVJ0,,A5UVJ0_ROSS1,,,,
A5VD55,,A5VD55_SPHWW,,,,
A5VMZ3,,A5VMZ3_BRUO2,,,,
A5VP39,,A5VP39_BRUO2,,,A5VP39_BRUO2,
A5VWN5,,A5VWN5_PSEP1,,,,
A5VYN8,,A5VYN8_PSEP1,,,,
A5WRU7,,A5WRU7_MYCTF,,,,
A5X465,,,,A5X465_9CARN,,
A5X466,,,,A5X466_BASAS,,
A5X467,,,,A5X467_POTFL,,
A5X468,,,,A5X468_BASGA,,
A5X469,,,,A5X469_ENHLU,,
A5X470,,,,A5X470_MUSNI,,
A5XZ85,,,,A5XZ85_SIGFU,,
A5YC74,,,,A5YC74_AMMLE,,
A5YMQ7,,A5YMQ7_MACMU,,,,
A5YN24,,,,A5YN24_MACNE,,
A5YN26,,,,A5YN26_RAT,,
A5YN28,,,,A5YN28_MADKI,,
A5YN29,,,,A5YN29_HORSE,,
A5YN30,,,,A5YN30_MACMU,,
A5YN31,,,,A5YN31_MACNE,,
A5YN32,,,,A5YN32_MACNE,,
A5YN33,,,,A5YN33_MACNE,,
A5Z1F9,,,,A5Z1F9_CRACA,,
A5Z1G0,,,,A5Z1G0_CRACA,,
A5Z1G1,,,,A5Z1G1_CRACA,,
A5Z1G2,,,,A5Z1G2_CRACA,,
A5Z1G4,,,,A5Z1G4_9RODE,,
A5Z1G5,,,,A5Z1G5_CRACA,,
A5Z1G6,,,,A5Z1G6_CRACA,,
A5Z1G7,,,,A5Z1G7_CRACA,,
A5Z1G8,,,,A5Z1G8_CRACA,,
A5Z1G9,,,,A5Z1G9_CRACA,,
A5Z1H0,,,,A5Z1H0_CRACA,,
A5Z1H1,,,,A5Z1H1_9RODE,,
A5Z1H2,,,,A5Z1H2_9RODE,,
A5Z1H3,,,,A5Z1H3_9RODE,,
A5Z1H4,,,,A5Z1H4_9RODE,,
A5Z1H5,,,,A5Z1H5_CRACA,,
A5Z1H6,,,,A5Z1H6_9RODE,,
A5Z1H7,,,,A5Z1H7_9RODE,,
A5Z1H8,,,,A5Z1H8_CRACA,,
A5Z1H9,,,,A5Z1H9_CRACA,,
A5Z1I0,,,,A5Z1I0_CRACA,,
A5Z1I1,,,,A5Z1I1_9RODE,,
A5Z1I2,,,,A5Z1I2_9RODE,,
A5Z1I3,,,,A5Z1I3_9RODE,,
A5Z1I4,,,,A5Z1I4_9RODE,,
A5Z1I5,,,,A5Z1I5_9RODE,,
A5Z1I6,,,,A5Z1I6_CRACA,,
A5Z1I7,,,,A5Z1I7_CRACA,,
A5Z1I8,,,,A5Z1I8_CRACA,,
A5Z1I9,,,,A5Z1I9_CRACA,,
A5Z1J1,,,,A5Z1J1_CRACA,,
A5Z2K7,,,,A5Z2K7_MAMAE,,
A6GWL9,,A6GWL9_FLAPJ,,,,
A6H4Q6,,COX1_VANPO,,,,COX1_VANPO
A6MCV4,,,,,,A6MCV4_ANOGA
A6MGC8,,,,A6MGC8_9NEOB,,
A6MGD2,,,,A6MGD2_9NEOB,,
A6MGE2,,,,A6MGE2_9NEOB,,
A6MGE6,,,,A6MGE6_9NEOB,,
A6MGE9,,,,A6MGE9_9NEOB,,
A6MGF0,,,,A6MGF0_9NEOB,,
A6MGF5,,,,A6MGF5_9NEOB,,
A6MUM6,,,,A6MUM6_9PASS,,
A6MUN5,,,,A6MUN5_9PASS,,
A6MUP6,,,,A6MUP6_9PASS,,
A6MUQ4,,,,A6MUQ4_9PASS,,
A6MUR2,,,,A6MUR2_9PASS,,
A6MUR4,,,,A6MUR4_9PASS,,
A6MUR5,,,,A6MUR5_9TYRA,,
A6MUR6,,,,A6MUR6_LANEL,,
A6NAM9,,,,A6NAM9_HUMAN,,
A6P396,,,,A6P396_9SAUR,,
A6Q052,,,,A6Q052_GULGU,,
A6Q065,,,,A6Q065_CANLU,,
A6Q6Y8,,A6Q6Y8_SULNB,,,,
A6QFR9,,A6QFR9_STAAE,,,,
A6T1D2,,A6T1D2_JANMA,,,,
A6T2U4,,A6T2U4_JANMA,,,,
A6T5H4,,A6T5H4_KLEP7,,,,
A6U0M8,,A6U0M8_STAA2,,,,
A6U6U5,,A6U6U5_SINMW,,,A6U6U5_SINMW,
A6UC78,,A6UC78_SINMW,,,,
A6UHP5,,A6UHP5_SINMW,,,,
A6UIS9,,A6UIS9_SINMW,,,,
A6UMR7,,A6UMR7_SINMW,,,,
A6UXP2,A6UXP2_PSEA7,A6UXP2_PSEA7,,,,
A6UXP2,A6UXP2_PSEA7,A6UXP2_PSEA7,,,,
A6V8P1,,A6V8P1_PSEA7,,,,
A6VRF3,,A6VRF3_MARMS,,,,
A6WD33,,A6WD33_KINRD,,,,
A6WU08,,A6WU08_SHEB8,,,,
A6WU46,,A6WU46_SHEB8,,,,
A6WUX6,,A6WUX6_OCHA4,,,,
A6WWF9,,A6WWF9_OCHA4,,,A6WWF9_OCHA4,
A6XKZ8,,,,A6XKZ8_THUAA,,
A6XKZ9,,,,A6XKZ9_THUAA,,
A6XL03,,,,A6XL03_THUAA,,
A6XL04,,,,A6XL04_THUAA,,
A6XL05,,,,A6XL05_ACASO,,
A6XL06,,,,A6XL06_ACASO,,
A6XL07,,,,A6XL07_ACASO,,
A6XL08,,,,A6XL08_ACASO,,
A6XL09,,,,A6XL09_ACASO,,
A6XL10,,,,A6XL10_ACASO,,
A6XL14,,,,A6XL14_ACASO,,
A6XL15,,,,A6XL15_ACASO,,
A6XL16,,,,A6XL16_ACASO,,
A6XL18,,,,A6XL18_ACASO,,
A6XL19,,,,A6XL19_SCOSC,,
A6XL20,,,,A6XL20_SCOSC,,
A6XL21,,,,A6XL21_SCOSC,,
A6XL22,,,,A6XL22_SCOSC,,
A6XL23,,,,A6XL23_SCOSC,,
A6XL24,,,,A6XL24_SCOSC,,
A6XL25,,,,A6XL25_SCOSC,,
A6XL26,,,,A6XL26_SCOSC,,
A6XL28,,,,A6XL28_SCOSC,,
A6XL29,,,,A6XL29_SCOSC,,
A6XL30,,,,A6XL30_AUXRO,,
A6XL31,,,,A6XL31_AUXRO,,
A6XL32,,,,A6XL32_AUXRO,,
A6XL34,,,,A6XL34_AUXRO,,
A6XL35,,,,A6XL35_AUXTH,,
A6XL41,,,,A6XL41_THUOB,,
A6XL42,,,,A6XL42_THUOB,,
A6XL43,,,,A6XL43_THUOB,,
A6XL44,,,,A6XL44_THUOB,,
A6XL45,,,,A6XL45_THUOB,,
A6XL46,,,,A6XL46_THUOB,,
A6XL47,,,,A6XL47_THUOB,,
A6XL49,,,,A6XL49_THUOB,,
A6XL52,,,,A6XL52_THUTH,,
A6XL53,,,,A6XL53_THUTH,,
A6XL54,,,,A6XL54_THUTH,,
A6XL55,,,,A6XL55_THUTH,,
A6XL56,,,,A6XL56_THUTH,,
A6XL57,,,,A6XL57_THUTH,,
A6XL58,,,,A6XL58_THUTH,,
A6XL59,,,,A6XL59_THUTH,,
A6XL60,,,,A6XL60_THUTH,,
A6XL61,,,,A6XL61_9SCOM,,
A6XL63,,,,A6XL63_9SCOM,,
A6XL64,,,,A6XL64_9SCOM,,
A6XL65,,,,A6XL65_9SCOM,,
A6XL67,,,,A6XL67_SCORE,,
A6XL68,,,,A6XL68_SCORE,,
A6XL69,,,,A6XL69_SCOCL,,
A6XL70,,,,A6XL70_SCOCL,,
A6XL71,,,,A6XL71_SCOCL,,
A6XL72,,,,A6XL72_SCOCL,,
A6XL75,,,,A6XL75_SCOCL,,
A6XL76,,,,A6XL76_SCOCL,,
A6XL78,,,,A6XL78_SCOCL,,
A6XL79,,,,A6XL79_SCOCL,,
A6XL81,,,,A6XL81_SCOCL,,
A6XL82,,,,A6XL82_EUTAL,,
A6XL83,,,,A6XL83_EUTAL,,
A6XL84,,,,A6XL84_EUTAL,,
A6XL85,,,,A6XL85_EUTAL,,
A6XL86,,,,A6XL86_EUTAL,,
A6XL87,,,,A6XL87_EUTAL,,
A6XL89,,,,A6XL89_SCOCA,,
A6XL90,,,,A6XL90_SCOCA,,
A6XL91,,,,A6XL91_SCOCA,,
A6XL93,,,,A6XL93_SCOCA,,
A6XL94,,,,A6XL94_SCOCA,,
A6XL97,,,,A6XL97_SARSA,,
A6XL99,,,,A6XL99_SCOBR,,
A6XLA0,,,,A6XLA0_KATPE,,
A6XLA1,,,,A6XLA1_KATPE,,
A6XLA2,,,,A6XLA2_KATPE,,
A6XLA3,,,,A6XLA3_KATPE,,
A6XLA6,,,,A6XLA6_KATPE,,
A6XLB0,,,,A6XLB0_KATPE,,
A6XLB3,,,,A6XLB3_SCOMC,,
A6XLB5,,,,A6XLB5_SCOMC,,
A6XLB6,,,,A6XLB6_SCOMC,,
A6XLB7,,,,A6XLB7_SCOMC,,
A6XLB8,,,,A6XLB8_SCOMC,,
A6XLB9,,,,A6XLB9_SCOMC,,
A6XLC0,,,,A6XLC0_SCOMC,,
A6XLC2,,,,A6XLC2_SCOMC,,
A6XLC4,,,,A6XLC4_SCOMC,,
A6XLC5,,,,A6XLC5_THUAL,,
A6XLC6,,,,A6XLC6_THUAL,,
A6XLC7,,,,A6XLC7_THUAL,,
A6XLC8,,,,A6XLC8_THUAL,,
A6XLC9,,,,A6XLC9_THUAL,,
A6XLD0,,,,A6XLD0_THUAL,,
A6XLD1,,,,A6XLD1_THUAL,,
A6XLD2,,,,A6XLD2_THUAL,,
A6XLD3,,,,A6XLD3_THUAL,,
A6XLD4,,,,A6XLD4_THUAL,,
A6XLD5,,,,A6XLD5_THUAL,,
A6Y863,,,,A6Y863_FALCH,,
A6Y867,,,,A6Y867_FALCH,,
A6YAQ4,,,,A6YAQ4_CAMBA,,
A6YAR7,,,,A6YAR7_9CETA,,A6YAR7_9CETA
A6YJS1,,,,A6YJS1_CERPY,,
A6YJT4,,,,A6YJT4_CERPY,,
A6YJU7,,,,A6YJU7_CHLTN,,
A6YNR8,,,,A6YNR8_9CHIR,,
A6YNR9,,,,A6YNR9_9CHIR,,
A6YNS2,,,,A6YNS2_9CHIR,,
A6YTK8,,,,A6YTK8_HUMAN,,
A6YU66,,,,A6YU66_HUMAN,,
A6YV28,,,,A6YV28_HUMAN,,
A6YV54,,,,A6YV54_HUMAN,,
A6YYA4,,,,A6YYA4_HUMAN,,
A6YYY8,,,,A6YYY8_HUMAN,,
A6YZK9,,,,A6YZK9_HUMAN,,
A6Z0P9,,,,A6Z0P9_HUMAN,,
A6Z1V1,,,,A6Z1V1_HUMAN,,
A6Z5Z1,,,,A6Z5Z1_HUMAN,,
A6Z6C1,,,,A6Z6C1_HUMAN,,
A6Z6U0,,,,A6Z6U0_HUMAN,,
A6ZA20,,,,A6ZA20_HUMAN,,
A6ZEY2,,,,A6ZEY2_HUMAN,,
A6ZFK2,,,,A6ZFK2_HUMAN,,
A6ZG99,,,,A6ZG99_HUMAN,,
A6ZGQ2,,,,A6ZGQ2_HUMAN,,
A6ZJ01,,,,A6ZJ01_ANAPL,,A6ZJ01_ANAPL
A7BFJ0,,,,A7BFJ0_BRABE,,
A7BFK2,,,,A7BFK2_BRABE,,
A7BFK5,,,,A7BFK5_BRABE,,
A7BFK8,,,,A7BFK8_BRABE,,
A7BFL6,,,,A7BFL6_BRABE,,
A7BFP1,,,,A7BFP1_BRABE,,
A7BFQ0,,,,A7BFQ0_BRABE,,
A7BFQ4,,,,A7BFQ4_BRABE,,
A7BFQ5,,,,A7BFQ5_BRABE,,
A7BFT8,,,,A7BFT8_BRABE,,
A7BFU4,,,,A7BFU4_BRABE,,
A7BFU5,,,,A7BFU5_BRABE,,
A7BFU7,,,,A7BFU7_9BRAN,,
A7BFU8,,,,A7BFU8_9BRAN,,
A7BFV0,,,,A7BFV0_9BRAN,,
A7BHR3,,,,A7BHR3_9TELE,,
A7BIF6,,,,A7BIF6_AILFU,,
A7BIG9,,,,A7BIG9_9CARN,,
A7BII2,,,,A7BII2_MARME,,
A7BIJ5,,,,A7BIJ5_ENHLU,,
A7DWM9,,,,A7DWM9_OSTTE,,
A7DWP2,,,,A7DWP2_9SAUR,,
A7DWQ5,,,,A7DWQ5_PALPA,,
A7DXU9,,,,A7DXU9_AILME,,
A7DXW2,,,,A7DXW2_AILFU,,
A7DXX5,,,,A7DXX5_9CARN,,
A7DY01,,,,A7DY01_MELME,,
A7DYF3,,,,A7DYF3_HIPHI,,
A7DYH6,,,,A7DYH6_HIPHI,,
A7DYK1,,,,A7DYK1_9PLEU,,
A7DYQ4,,,,A7DYQ4_9PLEU,,
A7E1C9,,,,A7E1C9_9TELE,,
A7E1E2,,,,A7E1E2_9TELE,,
A7E1F5,,,,A7E1F5_HIPKU,,
A7E1G8,,,,A7E1G8_MICBA,,
A7E1I1,,,,A7E1I1_9TELE,,
A7E1J4,,,,A7E1J4_9TELE,,
A7E1K7,,,,A7E1K7_9TELE,,
A7E1L8,,,,A7E1L8_AULCH,,
A7E1N3,,,,A7E1N3_9TELE,,
A7FLD1,,A7FLD1_YERP3,,,,
A7GLD0,,A7GLD0_BACCN,,,,
A7GRX1,,A7GRX1_BACCN,,,,
A7H8L4,,A7H8L4_ANADF,,,,
A7HEB5,,A7HEB5_ANADF,,,A7HEB5_ANADF,
A7HQK4,,A7HQK4_PARL1,,,,
A7HQW0,,A7HQW0_PARL1,,,,
A7IPC1,,A7IPC1_XANP2,,,,
A7J5D8,,,,A7J5D8_CEPMI,,
A7K1Y0,,A7K1Y0_VIBSE,,,,
A7K3A3,,A7K3A3_VIBSE,,,,
A7KGR0,,,,A7KGR0_9NEOB,,
A7KGR2,,,,A7KGR2_9NEOB,,
A7KGR3,,,,A7KGR3_9NEOB,,
A7KGR4,,,,A7KGR4_9NEOB,,
A7KGR5,,,,A7KGR5_9NEOB,,
A7KGR7,,,,A7KGR7_9NEOB,,
A7KGR8,,,,A7KGR8_9NEOB,,
A7KGR9,,,,A7KGR9_9NEOB,,
A7KGS0,,,,A7KGS0_9NEOB,,
A7KGS1,,,,A7KGS1_9NEOB,,
A7KGS2,,,,A7KGS2_9NEOB,,
A7KGS3,,,,A7KGS3_9NEOB,,
A7KGS4,,,,A7KGS4_9NEOB,,
A7KGS6,,,,A7KGS6_9NEOB,,
A7KGS7,,,,A7KGS7_KALPU,,
A7KGS8,,,,A7KGS8_9NEOB,,
A7KGS9,,,,A7KGS9_MICHE,,
A7KGT0,,,,A7KGT0_9NEOB,,
A7KGT1,,,,A7KGT1_9NEOB,,
A7KGT2,,,,A7KGT2_9NEOB,,
A7KGT3,,,,A7KGT3_9NEOB,,
A7KGT4,,,,A7KGT4_9NEOB,,
A7KGT5,,,,A7KGT5_9NEOB,,
A7KGU1,,,,A7KGU1_9NEOB,,
A7KGU2,,,,A7KGU2_9NEOB,,
A7KGU3,,,,A7KGU3_9NEOB,,
A7KP62,,,,A7KP62_CAMBA,,
A7KP75,,,,A7KP75_9CETA,,
A7KXH8,,,,A7KXH8_9TELE,,
A7KXT5,,,,A7KXT5_9TELE,,
A7LEL7,,,,A7LEL7_HUMAN,,
A7LFE0,,,,A7LFE0_HUMAN,,
A7LP35,,,,A7LP35_9AVES,,
A7M806,,,,A7M806_CIOIN,,
A7MFI1,,A7MFI1_CROS8,,,,
A7N1Y9,,A7N1Y9_VIBCB,,,,
A7N2L9,,A7N2L9_VIBCB,,,,
A7N9N1,,A7N9N1_FRATF,,,,
A7NJJ8,,A7NJJ8_ROSCS,,,,
A7NPW0,,A7NPW0_ROSCS,,,,
A7RDA9,,,,A7RDA9_9SAUR,,
A7RDC2,,,,A7RDC2_9SAUR,,
A7RGS3,,A7RGS3_NEMVE,,,,
A7RLP4,,A7RLP4_NEMVE,,,,
A7TY19,,,,A7TY19_9PASS,,
A7TY20,,,,A7TY20_9PASS,,
A7TY21,,,,A7TY21_9PASS,,
A7TY23,,,,A7TY23_9PASS,,
A7TY24,,,,A7TY24_9PASS,,
A7TY27,,,,A7TY27_9PASS,,
A7TY28,,,,A7TY28_9PASS,,
A7TY29,,,,A7TY29_9PASS,,
A7TY31,,,,A7TY31_9PASS,,
A7TY33,,,,A7TY33_9PASS,,
A7TY34,,,,A7TY34_9PASS,,
A7TY36,,,,A7TY36_9PASS,,
A7TY37,,,,A7TY37_9PASS,,
A7TY38,,,,A7TY38_9PASS,,
A7TY40,,,,A7TY40_9PASS,,
A7TY41,,,,A7TY41_9PASS,,
A7TY42,,,,A7TY42_9PASS,,
A7TY44,,,,A7TY44_9PASS,,
A7TY45,,,,A7TY45_9PASS,,
A7TY47,,,,A7TY47_9PASS,,
A7TY48,,,,A7TY48_9PASS,,
A7TY49,,,,A7TY49_9PASS,,
A7TY50,,,,A7TY50_9PASS,,
A7TY51,,,,A7TY51_9PASS,,
A7TY52,,,,A7TY52_9PASS,,
A7TY53,,,,A7TY53_9PASS,,
A7TY54,,,,A7TY54_9PASS,,
A7TY55,,,,A7TY55_9PASS,,
A7TY56,,,,A7TY56_9PASS,,
A7TY57,,,,A7TY57_9PASS,,
A7TY58,,,,A7TY58_9PASS,,
A7TY59,,,,A7TY59_9PASS,,
A7TY60,,,,A7TY60_9PASS,,
A7TY61,,,,A7TY61_9PASS,,
A7TY62,,,,A7TY62_9PASS,,
A7TY63,,,,A7TY63_9PASS,,
A7TY64,,,,A7TY64_9PASS,,
A7TY65,,,,A7TY65_9PASS,,
A7TY66,,,,A7TY66_9PASS,,
A7TY67,,,,A7TY67_9PASS,,
A7TY68,,,,A7TY68_9PASS,,
A7TY69,,,,A7TY69_9PASS,,
A7TY70,,,,A7TY70_9PASS,,
A7TY71,,,,A7TY71_9PASS,,
A7TY73,,,,A7TY73_9PASS,,
A7TY74,,,,A7TY74_9PASS,,
A7TY75,,,,A7TY75_9PASS,,
A7TY76,,,,A7TY76_9PASS,,
A7TY77,,,,A7TY77_9PASS,,
A7TY78,,,,A7TY78_ACRCR,,
A7TY79,,,,A7TY79_9PASS,,
A7TY80,,,,A7TY80_9PASS,,
A7TY81,,,,A7TY81_9PASS,,
A7TY82,,,,A7TY82_9PASS,,
A7TY83,,,,A7TY83_9PASS,,
A7TY84,,,,A7TY84_9PASS,,
A7TY86,,,,A7TY86_9PASS,,
A7TY88,,,,A7TY88_LEURO,,
A7TY89,,,,A7TY89_STUCI,,
A7TY90,,,,A7TY90_9PASS,,
A7TY91,,,,A7TY91_9PASS,,
A7TY92,,,,A7TY92_9PASS,,
A7TY93,,,,A7TY93_9PASS,,
A7TY94,,,,A7TY94_9PASS,,
A7TY95,,,,A7TY95_STUVU,,
A7TY96,,,,A7TY96_9PASS,,
A7TY97,,,,A7TY97_9PASS,,
A7TY98,,,,A7TY98_9PASS,,
A7TY99,,,,A7TY99_DUMCA,,
A7TYA0,,,,A7TYA0_9PASS,,
A7TYA1,,,,A7TYA1_9PASS,,
A7TYA2,,,,A7TYA2_9PASS,,
A7TYA3,,,,A7TYA3_9PASS,,
A7TYA4,,,,A7TYA4_9PASS,,
A7TYA5,,,,A7TYA5_9PASS,,
A7TYA6,,,,A7TYA6_9PASS,,
A7TYA7,,,,A7TYA7_9PASS,,
A7TYA8,,,,A7TYA8_9PASS,,
A7TYA9,,,,A7TYA9_MIMPO,,
A7TYB0,,,,A7TYB0_9PASS,,
A7TYB1,,,,A7TYB1_9PASS,,
A7TYB2,,,,A7TYB2_9PASS,,
A7TYB3,,,,A7TYB3_OREMN,,
A7TYB4,,,,A7TYB4_RAMBR,,
A7TYB5,,,,A7TYB5_9PASS,,
A7TYB6,,,,A7TYB6_TOXRU,,
A7TYB7,,,,A7TYB7_BOMCE,,
A7TYB8,,,,A7TYB8_CATGU,,
A7TYB9,,,,A7TYB9_MYATO,,
A7TYD1,,,,A7TYD1_9PASS,,
A7U4X6,,,,A7U4X6_9SAUR,,
A7U7K8,,,,A7U7K8_9TELE,,
A7UG06,,,,,,A7UG06_PHANO
A7WL70,,,,A7WL70_9ASCI,,
A7WL94,,,,A7WL94_9ASCI,,
A7X0V0,,A7X0V0_STAA1,,,,
A7X7B4,,,,A7X7B4_9BRAN,,
A7X7D6,,,,A7X7D6_9BRAN,,
A7X7X7,,A7X7X7_TRICA,,,,
A7XBY9,,,,A7XBY9_9CHON,,
A7XDJ9,,,,A7XDJ9_ANALU,,
A7XDL7,,,,A7XDL7_ANAMI,,
A7XDN4,,,,A7XDN4_9TELE,,
A7XDS4,,,,A7XDS4_9CHON,,
A7XE89,,,,,,A7XE89_BABBO
A7XM25,,,,A7XM25_9SALA,,
A7XM47,,,,A7XM47_9SALA,,
A7XM55,,,,A7XM55_ANAAE,,
A7XMC1,,,,A7XMC1_ANAAE,,
A7XMV5,,,,A7XMV5_9NEOB,,
A7XMZ3,,,,A7XMZ3_9SALA,,
A7XN46,,,,A7XN46_9NEOB,,
A7XN55,,,,A7XN55_9NEOB,,
A7XN63,,,,A7XN63_RANSY,,
A7XN78,,,,A7XN78_LITCT,,
A7XNE9,,,,A7XNE9_RANCL,,
A7XNF4,,,,A7XNF4_LITPI,,
A7XNH2,,,,A7XNH2_LITPI,,
A7XNI5,,,,A7XNI5_9NEOB,,
A7XNK4,,,,A7XNK4_RANSY,,
A7XPB1,,,,A7XPB1_LISVU,,
A7XPB2,,,,A7XPB2_LISVU,,
A7XSQ0,,,,A7XSQ0_HUMAN,,
A7YAF2,,,,A7YAF2_ACALE,,
A7YLV3,,,,A7YLV3_9TELE,,
A7YLV9,,,,A7YLV9_9TELE,,
A7YLW2,,,,A7YLW2_9TELE,,
A7Z4B3,,A7Z4B3_BACA2,,,,
A7ZA45,,A7ZA45_BACA2,,,,
A7ZII8,,A7ZII8_ECO24,,,,
A7ZX87,,A7ZX87_ECOHS,,,,
A8AK23,,A8AK23_CITK8,,,,
A8BKI3,,A8BKI3_TETTH,,,,
A8BV77,,,,A8BV77_DIPAG,,
A8BV85,,,,A8BV85_DIPCA,,
A8BV91,,,,A8BV91_DIPCO,,
A8BV94,,,,A8BV94_DIPDS,,
A8BVB1,,,,A8BVB1_DIPHE,,
A8BVB9,,,,A8BVB9_DIPME,,
A8BVC7,,,,A8BVC7_DIPMI,,
A8BVD4,,,,A8BVD4_DIPNE,,
A8BVE0,,,,A8BVE0_DIPOR,,
A8BVE6,,,,A8BVE6_DIPPA,,
A8BVF7,,,,A8BVF7_9RODE,,
A8BVG5,,,,A8BVG5_DIPSP,,
A8BVH1,,,,A8BVH1_MICMC,,
A8BVH5,,,,A8BVH5_MICPA,,
A8BVI2,,,,A8BVI2_HETAO,,
A8BVJ0,,,,A8BVJ0_9RODE,,
A8BVJ8,,,,A8BVJ8_9RODE,,
A8BVK3,,,,A8BVK3_HETGU,,
A8BVL1,,,,A8BVL1_9RODE,,
A8BVL9,,,,A8BVL9_9RODE,,
A8BVM6,,,,A8BVM6_9RODE,,
A8BVN2,,,,A8BVN2_9RODE,,
A8BVN9,,,,A8BVN9_CHABA,,
A8BVP4,,,,A8BVP4_CHACL,,
A8BVP9,,,,A8BVP9_CHAER,,
A8BVQ5,,,,A8BVQ5_CHAFO,,
A8BVQ9,,,,A8BVQ9_CHAHI,,
A8BVR6,,,,A8BVR6_CHAIN,,
A8BVS2,,,,A8BVS2_CHASU,,
A8BVS9,,,,A8BVS9_PERFE,,
A8BVT5,,,,A8BVT5_PERFA,,
A8BVT9,,,,A8BVT9_PERLO,,
A8BVU5,,,,A8BVU5_PERMS,,
A8BVV0,,,,A8BVV0_PERPA,,
A8CFA4,,,,A8CFA4_BUFJA,,
A8DDE9,,,,A8DDE9_MAMPR,,
A8DDJ2,,,,A8DDJ2_MAMPR,,
A8DIN2,,,,A8DIN2_CAMDR,,
A8DWS9,,A8DWS9_NEMVE,,,,
A8E1W4,,,,A8E1W4_CORKA,,
A8E1X7,,,,A8E1X7_LUTRI,,
A8E1Z0,,,,A8E1Z0_9TELE,,
A8E203,,,,A8E203_9TELE,,
A8E216,,,,A8E216_CENLO,,
A8E229,,,,A8E229_9TELE,,
A8E242,,,,A8E242_ZEBFL,,
A8EZ24,,A8EZ24_RICCK,,,,
A8F1H7,,A8F1H7_RICM5,,,,
A8FCU8,,A8FCU8_BACP2,,,,
A8FIP6,,A8FIP6_BACP2,,,,
A8FPN7,,A8FPN7_SHESH,,,,
A8G3F9,,A8G3F9_PROM2,,,,
A8G6P6,,A8G6P6_PROM2,,,,
A8GAQ3,,A8GAQ3_SERP5,,,,
A8GNB8,,A8GNB8_RICAH,,,,
A8GRY8,,A8GRY8_RICRS,,,,
A8GVI4,,A8GVI4_RICB8,,,,
A8H9S3,,A8H9S3_SHEPA,,,,
A8HC83,,,,A8HC83_9SALA,,
A8HC86,,,,A8HC86_9SALA,,
A8HC89,,,,A8HC89_9SALA,,
A8HC92,,,,A8HC92_9SALA,,
A8HCS2,,,,A8HCS2_BATAT,,
